balls,strikes,deficit,runs_scored,fastballs_seen,count,optimal_action,value
0,0,0,0,0,0-0,take,0.7463104783107147
0,0,0,0,1,0-0,take,0.7456198555287185
0,0,0,0,2,0-0,take,0.7456198555287185
0,0,0,0,3,0-0,take,0.7456198555287185
0,0,0,1,0,0-0,take,0.7463104783107147
0,0,0,1,1,0-0,take,0.7456198555287185
0,0,0,1,2,0-0,take,0.7456198555287185
0,0,0,1,3,0-0,take,0.7456198555287185
0,0,0,2,0,0-0,take,0.7463104783107147
0,0,0,2,1,0-0,take,0.7456198555287185
0,0,0,2,2,0-0,take,0.7456198555287185
0,0,0,2,3,0-0,take,0.7456198555287185
0,0,0,3,0,0-0,take,0.7463104783107147
0,0,0,3,1,0-0,take,0.7456198555287185
0,0,0,3,2,0-0,take,0.7456198555287185
0,0,0,3,3,0-0,take,0.7456198555287185
0,0,1,0,0,0-0,take,0.5421465845796469
0,0,1,0,1,0-0,take,0.5428880122127784
0,0,1,0,2,0-0,take,0.5428880122127784
0,0,1,0,3,0-0,take,0.5428880122127784
0,0,1,1,0,0-0,take,0.5421465845796469
0,0,1,1,1,0-0,take,0.5428880122127784
0,0,1,1,2,0-0,take,0.5428880122127784
0,0,1,1,3,0-0,take,0.5428880122127784
0,0,1,2,0,0-0,take,0.5421465845796469
0,0,1,2,1,0-0,take,0.5428880122127784
0,0,1,2,2,0-0,take,0.5428880122127784
0,0,1,2,3,0-0,take,0.5428880122127784
0,0,1,3,0,0-0,take,0.5421465845796469
0,0,1,3,1,0-0,take,0.5428880122127784
0,0,1,3,2,0-0,take,0.5428880122127784
0,0,1,3,3,0-0,take,0.5428880122127784
0,0,2,0,0,0-0,take,0.39383464079024577
0,0,2,0,1,0-0,take,0.39437324030168613
0,0,2,0,2,0-0,take,0.39437324030168613
0,0,2,0,3,0-0,take,0.39437324030168613
0,0,2,1,0,0-0,take,0.39383464079024577
0,0,2,1,1,0-0,take,0.39437324030168613
0,0,2,1,2,0-0,take,0.39437324030168613
0,0,2,1,3,0-0,take,0.39437324030168613
0,0,2,2,0,0-0,take,0.39383464079024577
0,0,2,2,1,0-0,take,0.39437324030168613
0,0,2,2,2,0-0,take,0.39437324030168613
0,0,2,2,3,0-0,take,0.39437324030168613
0,0,2,3,0,0-0,take,0.39383464079024577
0,0,2,3,1,0-0,take,0.39437324030168613
0,0,2,3,2,0-0,take,0.39437324030168613
0,0,2,3,3,0-0,take,0.39437324030168613
0,0,3,0,0,0-0,take,0.2870719286926795
0,0,3,0,1,0-0,take,0.28703339025690033
0,0,3,0,2,0-0,take,0.28703339025690033
0,0,3,0,3,0-0,take,0.28703339025690033
0,0,3,1,0,0-0,take,0.2870719286926795
0,0,3,1,1,0-0,take,0.28703339025690033
0,0,3,1,2,0-0,take,0.28703339025690033
0,0,3,1,3,0-0,take,0.28703339025690033
0,0,3,2,0,0-0,take,0.2870719286926795
0,0,3,2,1,0-0,take,0.28703339025690033
0,0,3,2,2,0-0,take,0.28703339025690033
0,0,3,2,3,0-0,take,0.28703339025690033
0,0,3,3,0,0-0,take,0.2870719286926795
0,0,3,3,1,0-0,take,0.28703339025690033
0,0,3,3,2,0-0,take,0.28703339025690033
0,0,3,3,3,0-0,take,0.28703339025690033
0,1,0,0,0,0-1,take,0.5493622098828468
0,1,0,0,1,0-1,take,0.5637275986861824
0,1,0,0,2,0-1,take,0.5600924297457861
0,1,0,0,3,0-1,take,0.5600924297457861
0,1,0,1,0,0-1,take,0.5493622098828468
0,1,0,1,1,0-1,take,0.5637275986861824
0,1,0,1,2,0-1,take,0.5600924297457861
0,1,0,1,3,0-1,take,0.5600924297457861
0,1,0,2,0,0-1,take,0.5493622098828468
0,1,0,2,1,0-1,take,0.5637275986861824
0,1,0,2,2,0-1,take,0.5600924297457861
0,1,0,2,3,0-1,take,0.5600924297457861
0,1,0,3,0,0-1,take,0.5493622098828468
0,1,0,3,1,0-1,take,0.5637275986861824
0,1,0,3,2,0-1,take,0.5600924297457861
0,1,0,3,3,0-1,take,0.5600924297457861
0,1,1,0,0,0-1,take,0.38652189788421976
0,1,1,0,1,0-1,take,0.3795761702169025
0,1,1,0,2,0-1,take,0.38088939078496353
0,1,1,0,3,0-1,take,0.38088939078496353
0,1,1,1,0,0-1,take,0.38652189788421976
0,1,1,1,1,0-1,take,0.3795761702169025
0,1,1,1,2,0-1,take,0.38088939078496353
0,1,1,1,3,0-1,take,0.38088939078496353
0,1,1,2,0,0-1,take,0.38652189788421976
0,1,1,2,1,0-1,take,0.3795761702169025
0,1,1,2,2,0-1,take,0.38088939078496353
0,1,1,2,3,0-1,take,0.38088939078496353
0,1,1,3,0,0-1,take,0.38652189788421976
0,1,1,3,1,0-1,take,0.3795761702169025
0,1,1,3,2,0-1,take,0.38088939078496353
0,1,1,3,3,0-1,take,0.38088939078496353
0,1,2,0,0,0-1,take,0.2807833105412876
0,1,2,0,1,0-1,take,0.27573768590983866
0,1,2,0,2,0-1,take,0.27669165622974906
0,1,2,0,3,0-1,take,0.27669165622974906
0,1,2,1,0,0-1,take,0.2807833105412876
0,1,2,1,1,0-1,take,0.27573768590983866
0,1,2,1,2,0-1,take,0.27669165622974906
0,1,2,1,3,0-1,take,0.27669165622974906
0,1,2,2,0,0-1,take,0.2807833105412876
0,1,2,2,1,0-1,take,0.27573768590983866
0,1,2,2,2,0-1,take,0.27669165622974906
0,1,2,2,3,0-1,take,0.27669165622974906
0,1,2,3,0,0-1,take,0.2807833105412876
0,1,2,3,1,0-1,take,0.27573768590983866
0,1,2,3,2,0-1,take,0.27669165622974906
0,1,2,3,3,0-1,take,0.27669165622974906
0,1,3,0,0,0-1,take,0.20397102305786616
0,1,3,0,1,0-1,take,0.2034859099941783
0,1,3,0,2,0-1,take,0.20277882129066233
0,1,3,0,3,0-1,take,0.20277882129066233
0,1,3,1,0,0-1,take,0.20397102305786616
0,1,3,1,1,0-1,take,0.2034859099941783
0,1,3,1,2,0-1,take,0.20277882129066233
0,1,3,1,3,0-1,take,0.20277882129066233
0,1,3,2,0,0-1,take,0.20397102305786616
0,1,3,2,1,0-1,take,0.2034859099941783
0,1,3,2,2,0-1,take,0.20277882129066233
0,1,3,2,3,0-1,take,0.20277882129066233
0,1,3,3,0,0-1,take,0.20397102305786616
0,1,3,3,1,0-1,take,0.2034859099941783
0,1,3,3,2,0-1,take,0.20277882129066233
0,1,3,3,3,0-1,take,0.20277882129066233
0,2,0,0,0,0-2,swing,0.33628761001742546
0,2,0,0,1,0-2,swing,0.34752724742486496
0,2,0,0,2,0-2,swing,0.3758965299023016
0,2,0,0,3,0-2,swing,0.36024250190321744
0,2,0,1,0,0-2,swing,0.33628761001742546
0,2,0,1,1,0-2,swing,0.34752724742486496
0,2,0,1,2,0-2,swing,0.3758965299023016
0,2,0,1,3,0-2,swing,0.36024250190321744
0,2,0,2,0,0-2,swing,0.33628761001742546
0,2,0,2,1,0-2,swing,0.34752724742486496
0,2,0,2,2,0-2,swing,0.3758965299023016
0,2,0,2,3,0-2,swing,0.36024250190321744
0,2,0,3,0,0-2,swing,0.33628761001742546
0,2,0,3,1,0-2,swing,0.34752724742486496
0,2,0,3,2,0-2,swing,0.3758965299023016
0,2,0,3,3,0-2,swing,0.36024250190321744
0,2,1,0,0,0-2,take,0.17446938090721864
0,2,1,0,1,0-2,take,0.17574746099875235
0,2,1,0,2,0-2,take,0.17040103539628854
0,2,1,0,3,0-2,take,0.17100847931638619
0,2,1,1,0,0-2,take,0.17446938090721864
