count,deficit,balls,strikes,obs_swing_pct,optimal_action,optimal_swing_pct,swing_deviation,gap,frequency,weighted_contribution,n_pitches
0-0,0,0,0,0.3670886075949367,take,0.0,0.3670886075949367,-0.04884882021990078,0.06760804450149764,-0.00330257321127271,158
0-1,1,0,1,0.5901639344262295,take,0.0,0.5901639344262295,-0.10245212550864408,0.02610183996576808,-0.002674188984179413,61
0-0,1,0,0,0.25892857142857145,take,0.0,0.25892857142857145,-0.05352724794489894,0.04792468977321352,-0.0025652767521731623,112
1-1,1,1,1,0.5681818181818182,take,0.0,0.5681818181818182,-0.12593717692473372,0.018827556696619598,-0.0023710893387626376,44
1-0,0,1,0,0.53125,take,0.0,0.53125,-0.08637432416442337,0.02738553701326487,-0.0023654072514005544,64
2-1,0,2,1,0.6388888888888888,take,0.0,0.6388888888888888,-0.13936219732350252,0.01540436456996149,-0.002146786094842144,36
1-1,0,1,1,0.47619047619047616,take,0.0,0.47619047619047616,-0.06721756072747287,0.026957637997432605,-0.0018120266691616562,63
3-2,1,3,2,0.7916666666666666,take,0.0,0.7916666666666666,-0.16665797755838235,0.010269576379974325,-0.0017115068298678546,24
2-2,1,2,2,0.7555555555555555,take,0.0,0.7555555555555555,-0.08543068658030134,0.019255455712451863,-0.0016450068019313482,45
2-1,1,2,1,0.7368421052631579,take,0.0,0.7368421052631579,-0.18892205080024943,0.008130081300813009,-0.0015359516325223533,19
1-0,1,1,0,0.35555555555555557,take,0.0,0.35555555555555557,-0.0788177222894797,0.019255455712451863,-0.0015176711609014063,45
0-0,2,0,0,0.2891566265060241,take,0.0,0.2891566265060241,-0.04203236158405077,0.03551561831407788,-0.001492805310858457,83
1-1,2,1,1,0.6363636363636364,take,0.0,0.6363636363636364,-0.09975427879749715,0.014120667522464698,-0.001408597004842707,33
0-1,2,0,1,0.5777777777777777,take,0.0,0.5777777777777777,-0.06937407087249611,0.019255455712451863,-0.0013358293492778455,45
3-2,0,3,2,0.8181818181818182,take,0.0,0.8181818181818182,-0.12885763733684485,0.009413778348309799,-0.0012130372363759465,22
0-1,0,0,1,0.5066666666666667,take,0.0,0.5066666666666667,-0.034283100426757196,0.03209242618741977,-0.0011002278699216044,75
0-2,0,0,2,0.6136363636363636,swing,1.0,-0.38636363636363635,-0.051305954466981385,0.018827556696619598,-0.0009659657666012756,44
1-0,2,1,0,0.45161290322580644,take,0.0,0.45161290322580644,-0.07080166651388092,0.013264869490800172,-0.0009391748660377873,31
0-0,3,0,0,0.34328358208955223,take,0.0,0.34328358208955223,-0.03129805521505136,0.02866923406076166,-0.0008972912706069495,67
1-2,0,1,2,0.6428571428571429,swing,1.0,-0.3571428571428571,-0.03567788719942211,0.02396234488660676,-0.0008549258378980052,56
3-1,1,3,1,0.7,take,0.0,0.7,-0.17948843704680206,0.004278990158322636,-0.0007680292556559781,10
1-1,3,1,1,0.5925925925925926,take,0.0,0.5925925925925926,-0.06008930962051853,0.011553273427471117,-0.0006942282241138213,27
2-0,1,2,0,0.25,take,0.0,0.25,-0.05542157795207048,0.008557980316645272,-0.00047429677323124073,20
0-1,3,0,1,0.5,take,0.0,0.5,-0.034238889878521556,0.013692768506632435,-0.000468825193030676,32
2-2,2,2,2,0.875,take,0.0,0.875,-0.06839124765769633,0.0068463842533162175,-0.0004682327610283018,16
2-2,0,2,2,0.7346938775510204,take,0.0,0.7346938775510204,-0.021082998255904595,0.020967051775780916,-0.0004420483160202504,49
1-2,1,1,2,0.5238095238095238,take,0.0,0.5238095238095238,-0.024055991298515822,0.01797175866495507,-0.00043232847006318553,42
3-1,0,3,1,0.3076923076923077,take,0.0,0.3076923076923077,-0.06712483571816152,0.005562687205819427,-0.000373394464842148,13
1-2,2,1,2,0.7,take,0.0,0.7,-0.020690945256405968,0.017115960633290545,-0.00035414540447421426,40
3-2,2,3,2,0.625,take,0.0,0.625,-0.09293581376940835,0.0034231921266581087,-0.0003181371459800029,8
2-1,2,2,1,0.4444444444444444,take,0.0,0.4444444444444444,-0.08084745054365178,0.0038510911424903724,-0.0003113509006815858,9
2-1,3,2,1,0.6,take,0.0,0.6,-0.0717796824338601,0.004278990158322636,-0.00030714455470201156,10
1-0,3,1,0,0.25925925925925924,take,0.0,0.25925925925925924,-0.026292529561742717,0.011553273427471117,-0.00030376478312668095,27
2-0,0,2,0,0.26666666666666666,take,0.0,0.26666666666666666,-0.0459353794421089,0.006418485237483954,-0.0002948355548273999,15
3-1,2,3,1,0.6,take,0.0,0.6,-0.10915180682386122,0.002139495079161318,-0.00023352975358121786,5
3-1,3,3,1,0.5,take,0.0,0.5,-0.059821083127047425,0.0034231921266581087,-0.00020477906076866897,8
3-2,3,3,2,0.5,take,0.0,0.5,-0.04777908497571476,0.004278990158322636,-0.0002044462343847444,10
2-2,3,2,2,0.6666666666666666,take,0.0,0.6666666666666666,-0.029616257568592208,0.006418485237483954,-0.0001900915119935315,15
2-0,3,2,0,0.3333333333333333,take,0.0,0.3333333333333333,-0.033806687543980474,0.0038510911424903724,-0.0001301926349575628,9
3-0,3,3,0,0.5,take,0.0,0.5,-0.046600618996552434,0.0017115960633290544,-7.976143602319629e-05,4
0-2,3,0,2,0.65,swing,1.0,-0.35,-0.008784564451451343,0.008557980316645272,-7.517812966582237e-05,20
1-2,3,1,2,0.5925925925925926,take,0.0,0.5925925925925926,-0.005446232275430077,0.011553273427471117,-6.292181062756186e-05,27
3-0,2,3,0,0.25,take,0.0,0.25,-0.036361515256177646,0.0017115960633290544,-6.223622636915301e-05,4
0-2,2,0,2,0.5652173913043478,swing,1.0,-0.4347826086956522,-0.0028435745278276026,0.009841677364142062,-2.798554306377187e-05,23
0-2,1,0,2,0.5897435897435898,swing,1.0,-0.41025641025641024,-0.00023295363248970746,0.01668806161745828,-3.8875445729989694e-06,39
3-0,0,3,0,0.0,take,0.0,0.0,0.0,0.002139495079161318,0.0,5
3-0,1,3,0,0.0,take,0.0,0.0,1.2101430968414206e-14,0.005134788189987163,6.213828481855818e-17,12
2-0,2,2,0,0.0,take,0.0,0.0,3.315014929228255e-12,0.0025673940949935813,8.510949754116187e-15,6
