era,deficit,balls,strikes,count,optimal_action,value
post_war,0,0,0,0-0,swing,0.5660284427196745
post_war,0,0,1,0-1,swing,0.48756038284914655
post_war,0,0,2,0-2,swing,0.3466003996322668
post_war,0,1,0,1-0,take,0.5688061089264221
post_war,0,1,1,1-1,swing,0.48756038284914655
post_war,0,1,2,1-2,swing,0.3466003996322668
post_war,0,2,0,2-0,take,0.6022843291390201
post_war,0,2,1,2-1,take,0.5114659852478849
post_war,0,2,2,2-2,swing,0.3466003996322668
post_war,0,3,0,3-0,take,0.6397070531439204
post_war,0,3,1,3-1,take,0.5794007109559848
post_war,0,3,2,3-2,take,0.3727415219448922
post_war,1,0,0,0-0,swing,0.5985375028742155
post_war,1,0,1,0-1,swing,0.5252055343372175
post_war,1,0,2,0-2,swing,0.3934720228383619
post_war,1,1,0,1-0,swing,0.5985375028742155
post_war,1,1,1,1-1,swing,0.5252055343372175
post_war,1,1,2,1-2,swing,0.3934720228383619
post_war,1,2,0,2-0,swing,0.5985375028742155
post_war,1,2,1,2-1,swing,0.5252055343372175
post_war,1,2,2,2-2,swing,0.3934720228383619
post_war,1,3,0,3-0,swing,0.5985375028742155
post_war,1,3,1,3-1,swing,0.5252055343372175
post_war,1,3,2,3-2,swing,0.3934720228383619
post_war,2,0,0,0-0,swing,0.4258456838653779
post_war,2,0,1,0-1,swing,0.3768467410557524
post_war,2,0,2,0-2,swing,0.2888250634284162
post_war,2,1,0,1-0,swing,0.4258456838653779
post_war,2,1,1,1-1,swing,0.3768467410557524
post_war,2,1,2,1-2,swing,0.2888250634284162
post_war,2,2,0,2-0,swing,0.4258456838653779
post_war,2,2,1,2-1,swing,0.3768467410557524
post_war,2,2,2,2-2,swing,0.2888250634284162
post_war,2,3,0,3-0,swing,0.4258456838653779
post_war,2,3,1,3-1,swing,0.3768467410557524
post_war,2,3,2,3-2,swing,0.2888250634284162
post_war,3,0,0,0-0,swing,0.08501198019350378
post_war,3,0,1,0-1,swing,0.0762933078064037
post_war,3,0,2,0-2,swing,0.060631088034855576
post_war,3,1,0,1-0,swing,0.08501198019350378
post_war,3,1,1,1-1,swing,0.0762933078064037
post_war,3,1,2,1-2,swing,0.060631088034855576
post_war,3,2,0,2-0,swing,0.08501198019350378
post_war,3,2,1,2-1,swing,0.0762933078064037
post_war,3,2,2,2-2,swing,0.060631088034855576
post_war,3,3,0,3-0,swing,0.08501198019350378
post_war,3,3,1,3-1,swing,0.0762933078064037
post_war,3,3,2,3-2,swing,0.060631088034855576
expansion,0,0,0,0-0,swing,0.575819835152952
expansion,0,0,1,0-1,swing,0.5026130296291658
expansion,0,0,2,0-2,swing,0.3690116979323285
expansion,0,1,0,1-0,take,0.5769472261107563
expansion,0,1,1,1-1,swing,0.5026130296291658
expansion,0,1,2,1-2,swing,0.3690116979323285
expansion,0,2,0,2-0,take,0.6067823826615133
expansion,0,2,1,2-1,take,0.5213735029767553
expansion,0,2,2,2-2,swing,0.3690116979323285
expansion,0,3,0,3-0,take,0.6410625286824885
expansion,0,3,1,3-1,take,0.5825262181449018
expansion,0,3,2,3-2,take,0.3781468646467243
expansion,1,0,0,0-0,swing,0.6076880039968457
expansion,1,0,1,0-1,swing,0.5392729168438681
expansion,1,0,2,0-2,swing,0.4144163997103075
expansion,1,1,0,1-0,swing,0.6076880039968457
expansion,1,1,1,1-1,swing,0.5392729168438681
expansion,1,1,2,1-2,swing,0.4144163997103075
expansion,1,2,0,2-0,swing,0.6076880039968457
expansion,1,2,1,2-1,swing,0.5392729168438681
expansion,1,2,2,2-2,swing,0.4144163997103075
expansion,1,3,0,3-0,swing,0.6076880039968457
expansion,1,3,1,3-1,swing,0.5392729168438681
expansion,1,3,2,3-2,swing,0.4144163997103075
expansion,2,0,0,0-0,swing,0.43195986724678825
expansion,2,0,1,0-1,swing,0.38624628444079007
expansion,2,0,2,0-2,swing,0.3028196752223494
expansion,2,1,0,1-0,swing,0.43195986724678825
expansion,2,1,1,1-1,swing,0.38624628444079007
expansion,2,1,2,1-2,swing,0.3028196752223494
expansion,2,2,0,2-0,swing,0.43195986724678825
expansion,2,2,1,2-1,swing,0.38624628444079007
expansion,2,2,2,2-2,swing,0.3028196752223494
expansion,2,3,0,3-0,swing,0.43195986724678825
expansion,2,3,1,3-1,swing,0.38624628444079007
expansion,2,3,2,3-2,swing,0.3028196752223494
expansion,3,0,0,0-0,swing,0.08609991161916006
expansion,3,0,1,0-1,swing,0.07796582335450536
expansion,3,0,2,0-2,swing,0.06312123175325096
expansion,3,1,0,1-0,swing,0.08609991161916006
expansion,3,1,1,1-1,swing,0.07796582335450536
expansion,3,1,2,1-2,swing,0.06312123175325096
expansion,3,2,0,2-0,swing,0.08609991161916006
expansion,3,2,1,2-1,swing,0.07796582335450536
expansion,3,2,2,2-2,swing,0.06312123175325096
expansion,3,3,0,3-0,swing,0.08609991161916006
expansion,3,3,1,3-1,swing,0.07796582335450536
expansion,3,3,2,3-2,swing,0.06312123175325096
offense_explosion,0,0,0,0-0,swing,0.5631049729682003
offense_explosion,0,0,1,0-1,swing,0.4862966039775839
offense_explosion,0,0,2,0-2,swing,0.3513373217245572
offense_explosion,0,1,0,1-0,take,0.5672588719373426
offense_explosion,0,1,1,1-1,swing,0.4862966039775839
offense_explosion,0,1,2,1-2,swing,0.3513373217245572
offense_explosion,0,2,0,2-0,take,0.6011279432038519
offense_explosion,0,2,1,2-1,take,0.5108390745335118
offense_explosion,0,2,2,2-2,swing,0.3513373217245572
offense_explosion,0,3,0,3-0,take,0.638898624126361
offense_explosion,0,3,1,3-1,take,0.5775636871791083
offense_explosion,0,3,2,3-2,take,0.36961073837393943
offense_explosion,1,0,0,0-0,swing,0.5958053874570511
offense_explosion,1,0,1,0-1,swing,0.5240244754949527
offense_explosion,1,0,2,0-2,swing,0.3978988918143085
offense_explosion,1,1,0,1-0,swing,0.5958053874570511
offense_explosion,1,1,1,1-1,swing,0.5240244754949527
offense_explosion,1,1,2,1-2,swing,0.3978988918143085
offense_explosion,1,2,0,2-0,swing,0.5958053874570511
offense_explosion,1,2,1,2-1,swing,0.5240244754949527
offense_explosion,1,2,2,2-2,swing,0.3978988918143085
offense_explosion,1,3,0,3-0,swing,0.5958053874570511
offense_explosion,1,3,1,3-1,swing,0.5240244754949527
offense_explosion,1,3,2,3-2,swing,0.3978988918143085
offense_explosion,2,0,0,0-0,swing,0.42402013926809634
offense_explosion,2,0,1,0-1,swing,0.3760575811735981
offense_explosion,2,0,2,0-2,swing,0.291783007935728
offense_explosion,2,1,0,1-0,swing,0.42402013926809634
offense_explosion,2,1,1,1-1,swing,0.3760575811735981
offense_explosion,2,1,2,1-2,swing,0.291783007935728
offense_explosion,2,2,0,2-0,swing,0.42402013926809634
offense_explosion,2,2,1,2-1,swing,0.3760575811735981
offense_explosion,2,2,2,2-2,swing,0.291783007935728
offense_explosion,2,3,0,3-0,swing,0.42402013926809634
offense_explosion,2,3,1,3-1,swing,0.3760575811735981
offense_explosion,2,3,2,3-2,swing,0.291783007935728
offense_explosion,3,0,0,0-0,swing,0.0846871502382925
offense_explosion,3,0,1,0-1,swing,0.07615288787781968
offense_explosion,3,0,2,0-2,swing,0.0611574126354445
offense_explosion,3,1,0,1-0,swing,0.0846871502382925
offense_explosion,3,1,1,1-1,swing,0.07615288787781968
offense_explosion,3,1,2,1-2,swing,0.0611574126354445
offense_explosion,3,2,0,2-0,swing,0.0846871502382925
offense_explosion,3,2,1,2-1,swing,0.07615288787781968
offense_explosion,3,2,2,2-2,swing,0.0611574126354445
offense_explosion,3,3,0,3-0,swing,0.0846871502382925
offense_explosion,3,3,1,3-1,swing,0.07615288787781968
offense_explosion,3,3,2,3-2,swing,0.0611574126354445
statcast,0,0,0,0-0,swing,0.521191921637817
statcast,0,0,1,0-1,swing,0.43398671132041733
statcast,0,0,2,0-2,swing,0.29373684602683425
statcast,0,1,0,1-0,take,0.5396071995943518
statcast,0,1,1,1-1,swing,0.43398671132041733
statcast,0,1,2,1-2,swing,0.29373684602683425
statcast,0,2,0,2-0,take,0.5872703381722207
statcast,0,2,1,2-1,take,0.4826281340612526
statcast,0,2,2,2-2,swing,0.29373684602683425
statcast,0,3,0,3-0,take,0.6344920067475135
statcast,0,3,1,3-1,take,0.5678687101826738
statcast,0,3,2,3-2,take,0.3536096162533311
statcast,1,0,0,0-0,swing,0.5566357355813063
statcast,1,0,1,0-1,swing,0.475138502917705
statcast,1,0,2,0-2,swing,0.34406862896812296
statcast,1,1,0,1-0,swing,0.5566357355813063
statcast,1,1,1,1-1,swing,0.475138502917705
statcast,1,1,2,1-2,swing,0.34406862896812296
statcast,1,2,0,2-0,swing,0.5566357355813063
statcast,1,2,1,2-1,swing,0.475138502917705
statcast,1,2,2,2-2,swing,0.34406862896812296
statcast,1,3,0,3-0,swing,0.5566357355813063
statcast,1,3,1,3-1,swing,0.475138502917705
statcast,1,3,2,3-2,swing,0.34406862896812296
statcast,2,0,0,0-0,swing,0.3978477661022536
statcast,2,0,1,0-1,swing,0.343392958646683
statcast,2,0,2,0-2,swing,0.25581471049089893
statcast,2,1,0,1-0,swing,0.3978477661022536
statcast,2,1,1,1-1,swing,0.343392958646683
statcast,2,1,2,1-2,swing,0.25581471049089893
statcast,2,2,0,2-0,swing,0.3978477661022536
statcast,2,2,1,2-1,swing,0.343392958646683
statcast,2,2,2,2-2,swing,0.25581471049089893
statcast,2,3,0,3-0,swing,0.3978477661022536
statcast,2,3,1,3-1,swing,0.343392958646683
statcast,2,3,2,3-2,swing,0.25581471049089893
statcast,3,0,0,0-0,swing,0.08003014388938559
statcast,3,0,1,0-1,swing,0.0703406772014056
statcast,3,0,2,0-2,swing,0.05475735955718216
statcast,3,1,0,1-0,swing,0.08003014388938559
statcast,3,1,1,1-1,swing,0.0703406772014056
statcast,3,1,2,1-2,swing,0.05475735955718216
statcast,3,2,0,2-0,swing,0.08003014388938559
statcast,3,2,1,2-1,swing,0.0703406772014056
statcast,3,2,2,2-2,swing,0.05475735955718216
statcast,3,3,0,3-0,swing,0.08003014388938559
statcast,3,3,1,3-1,swing,0.0703406772014056
statcast,3,3,2,3-2,swing,0.05475735955718216
