era,balls,strikes,deficit,runs_scored,count,optimal_action,value
post_war,0,0,0,0,0-0,take,0.7903185015556563
post_war,0,0,0,1,0-0,take,0.7903185015556563
post_war,0,0,0,2,0-0,take,0.7903185015556563
post_war,0,0,0,3,0-0,take,0.7903185015556563
post_war,0,0,1,0,0-0,take,0.6001029995874054
post_war,0,0,1,1,0-0,take,0.6001029995874054
post_war,0,0,1,2,0-0,take,0.6001029995874054
post_war,0,0,1,3,0-0,take,0.6001029995874054
post_war,0,0,2,0,0-0,take,0.45566896054006834
post_war,0,0,2,1,0-0,take,0.45566896054006834
post_war,0,0,2,2,0-0,take,0.45566896054006834
post_war,0,0,2,3,0-0,take,0.45566896054006834
post_war,0,0,3,0,0-0,take,0.3476694040742833
post_war,0,0,3,1,0-0,take,0.3476694040742833
post_war,0,0,3,2,0-0,take,0.3476694040742833
post_war,0,0,3,3,0-0,take,0.3476694040742833
post_war,0,1,0,0,0-1,take,0.6290893705238996
post_war,0,1,0,1,0-1,take,0.6290893705238996
post_war,0,1,0,2,0-1,take,0.6290893705238996
post_war,0,1,0,3,0-1,take,0.6290893705238996
post_war,0,1,1,0,0-1,take,0.43082344863450317
post_war,0,1,1,1,0-1,take,0.43082344863450317
post_war,0,1,1,2,0-1,take,0.43082344863450317
post_war,0,1,1,3,0-1,take,0.43082344863450317
post_war,0,1,2,0,0-1,take,0.32713196426979524
post_war,0,1,2,1,0-1,take,0.32713196426979524
post_war,0,1,2,2,0-1,take,0.32713196426979524
post_war,0,1,2,3,0-1,take,0.32713196426979524
post_war,0,1,3,0,0-1,take,0.2541261270080422
post_war,0,1,3,1,0-1,take,0.2541261270080422
post_war,0,1,3,2,0-1,take,0.2541261270080422
post_war,0,1,3,3,0-1,take,0.2541261270080422
post_war,0,2,0,0,0-2,swing,0.4629369837870907
post_war,0,2,0,1,0-2,swing,0.4629369837870907
post_war,0,2,0,2,0-2,swing,0.4629369837870907
post_war,0,2,0,3,0-2,swing,0.4629369837870907
post_war,0,2,1,0,0-2,take,0.19878699311825287
post_war,0,2,1,1,0-2,take,0.19878699311825287
post_war,0,2,1,2,0-2,take,0.19878699311825287
post_war,0,2,1,3,0-2,take,0.19878699311825287
post_war,0,2,2,0,0-2,take,0.15094252584641799
post_war,0,2,2,1,0-2,take,0.15094252584641799
post_war,0,2,2,2,0-2,take,0.15094252584641799
post_war,0,2,2,3,0-2,take,0.15094252584641799
post_war,0,2,3,0,0-2,swing,0.1342455195130842
post_war,0,2,3,1,0-2,swing,0.1342455195130842
post_war,0,2,3,2,0-2,swing,0.1342455195130842
post_war,0,2,3,3,0-2,swing,0.1342455195130842
post_war,1,0,0,0,1-0,take,0.8567547845369738
post_war,1,0,0,1,1-0,take,0.8567547845369738
post_war,1,0,0,2,1-0,take,0.8567547845369738
post_war,1,0,0,3,1-0,take,0.8567547845369738
post_war,1,0,1,0,1-0,take,0.6698565489497503
post_war,1,0,1,1,1-0,take,0.6698565489497503
post_war,1,0,1,2,1-0,take,0.6698565489497503
post_war,1,0,1,3,1-0,take,0.6698565489497503
post_war,1,0,2,0,1-0,take,0.5086340804649986
post_war,1,0,2,1,1-0,take,0.5086340804649986
post_war,1,0,2,2,1-0,take,0.5086340804649986
post_war,1,0,2,3,1-0,take,0.5086340804649986
post_war,1,0,3,0,1-0,take,0.38621497012006284
post_war,1,0,3,1,1-0,take,0.38621497012006284
post_war,1,0,3,2,1-0,take,0.38621497012006284
post_war,1,0,3,3,1-0,take,0.38621497012006284
post_war,1,1,0,0,1-1,take,0.6975543365795294
post_war,1,1,0,1,1-1,take,0.6975543365795294
post_war,1,1,0,2,1-1,take,0.6975543365795294
post_war,1,1,0,3,1-1,take,0.6975543365795294
post_war,1,1,1,0,1-1,take,0.5264366887606226
post_war,1,1,1,1,1-1,take,0.5264366887606226
post_war,1,1,1,2,1-1,take,0.5264366887606226
post_war,1,1,1,3,1-1,take,0.5264366887606226
post_war,1,1,2,0,1-1,take,0.39973281075174855
post_war,1,1,2,1,1-1,take,0.39973281075174855
post_war,1,1,2,2,1-1,take,0.39973281075174855
post_war,1,1,2,3,1-1,take,0.39973281075174855
post_war,1,1,3,0,1-1,take,0.3035242853046537
post_war,1,1,3,1,1-1,take,0.3035242853046537
post_war,1,1,3,2,1-1,take,0.3035242853046537
post_war,1,1,3,3,1-1,take,0.3035242853046537
post_war,1,2,0,0,1-2,swing,0.4629369837870907
post_war,1,2,0,1,1-2,swing,0.4629369837870907
post_war,1,2,0,2,1-2,swing,0.4629369837870907
post_war,1,2,0,3,1-2,swing,0.4629369837870907
post_war,1,2,1,0,1-2,take,0.28069941702885115
post_war,1,2,1,1,1-2,take,0.28069941702885115
post_war,1,2,1,2,1-2,take,0.28069941702885115
post_war,1,2,1,3,1-2,take,0.28069941702885115
post_war,1,2,2,0,1-2,take,0.2131400970738671
post_war,1,2,2,1,1-2,take,0.2131400970738671
post_war,1,2,2,2,1-2,take,0.2131400970738671
post_war,1,2,2,3,1-2,take,0.2131400970738671
post_war,1,2,3,0,1-2,take,0.16184109471720864
post_war,1,2,3,1,1-2,take,0.16184109471720864
post_war,1,2,3,2,1-2,take,0.16184109471720864
post_war,1,2,3,3,1-2,take,0.16184109471720864
post_war,2,0,0,0,2-0,take,0.9223551257629647
post_war,2,0,0,1,2-0,take,0.9223551257629647
post_war,2,0,0,2,2-0,take,0.9223551257629647
post_war,2,0,0,3,2-0,take,0.9223551257629647
post_war,2,0,1,0,2-0,take,0.7289543208951558
post_war,2,0,1,1,2-0,take,0.7289543208951558
post_war,2,0,1,2,2-0,take,0.7289543208951558
post_war,2,0,1,3,2-0,take,0.7289543208951558
post_war,2,0,2,0,2-0,take,0.5535080776533803
post_war,2,0,2,1,2-0,take,0.5535080776533803
post_war,2,0,2,2,2-0,take,0.5535080776533803
post_war,2,0,2,3,2-0,take,0.5535080776533803
post_war,2,0,3,0,2-0,take,0.42028860106587773
post_war,2,0,3,1,2-0,take,0.42028860106587773
post_war,2,0,3,2,2-0,take,0.42028860106587773
post_war,2,0,3,3,2-0,take,0.42028860106587773
post_war,2,1,0,0,2-1,take,0.7942310645547973
post_war,2,1,0,1,2-1,take,0.7942310645547973
post_war,2,1,0,2,2-1,take,0.7942310645547973
post_war,2,1,0,3,2-1,take,0.7942310645547973
post_war,2,1,1,0,2-1,take,0.6276955048278959
post_war,2,1,1,1,2-1,take,0.6276955048278959
post_war,2,1,1,2,2-1,take,0.6276955048278959
post_war,2,1,1,3,2-1,take,0.6276955048278959
post_war,2,1,2,0,2-1,take,0.4766204442038523
post_war,2,1,2,1,2-1,take,0.4766204442038523
post_war,2,1,2,2,2-1,take,0.4766204442038523
post_war,2,1,2,3,2-1,take,0.4766204442038523
post_war,2,1,3,0,2-1,take,0.3619064434289345
post_war,2,1,3,1,2-1,take,0.3619064434289345
post_war,2,1,3,2,2-1,take,0.3619064434289345
post_war,2,1,3,3,2-1,take,0.3619064434289345
post_war,2,2,0,0,2-2,take,0.5015253709084831
post_war,2,2,0,1,2-2,take,0.5015253709084831
post_war,2,2,0,2,2-2,take,0.5015253709084831
post_war,2,2,0,3,2-2,take,0.5015253709084831
post_war,2,2,1,0,2-2,take,0.3963647796285353
post_war,2,2,1,1,2-2,take,0.3963647796285353
post_war,2,2,1,2,2-2,take,0.3963647796285353
post_war,2,2,1,3,2-2,take,0.3963647796285353
post_war,2,2,2,0,2-2,take,0.30096687945101924
post_war,2,2,2,1,2-2,take,0.30096687945101924
post_war,2,2,2,2,2-2,take,0.30096687945101924
post_war,2,2,2,3,2-2,take,0.30096687945101924
post_war,2,2,3,0,2-2,take,0.2285295443805756
post_war,2,2,3,1,2-2,take,0.2285295443805756
post_war,2,2,3,2,2-2,take,0.2285295443805756
post_war,2,2,3,3,2-2,take,0.2285295443805756
post_war,3,0,0,0,3-0,take,0.975150091118604
post_war,3,0,0,1,3-0,take,0.975150091118604
post_war,3,0,0,2,3-0,take,0.975150091118604
post_war,3,0,0,3,3-0,take,0.975150091118604
post_war,3,0,1,0,3-0,take,0.7706791588047146
post_war,3,0,1,1,3-0,take,0.7706791588047146
post_war,3,0,1,2,3-0,take,0.7706791588047146
post_war,3,0,1,3,3-0,take,0.7706791588047146
post_war,3,0,2,0,3-0,take,0.5851904947278053
post_war,3,0,2,1,3-0,take,0.5851904947278053
post_war,3,0,2,2,3-0,take,0.5851904947278053
post_war,3,0,2,3,3-0,take,0.5851904947278053
post_war,3,0,3,0,3-0,take,0.44434562831474744
post_war,3,0,3,1,3-0,take,0.44434562831474744
post_war,3,0,3,2,3-0,take,0.44434562831474744
post_war,3,0,3,3,3-0,take,0.44434562831474744
post_war,3,1,0,0,3-1,take,0.9148437489306683
post_war,3,1,0,1,3-1,take,0.9148437489306683
post_war,3,1,0,2,3-1,take,0.9148437489306683
post_war,3,1,0,3,3-1,take,0.9148437489306683
post_war,3,1,1,0,3-1,take,0.7230179408124433
post_war,3,1,1,1,3-1,take,0.7230179408124433
post_war,3,1,1,2,3-1,take,0.7230179408124433
post_war,3,1,1,3,3-1,take,0.7230179408124433
post_war,3,1,2,0,3-1,take,0.549000477886811
post_war,3,1,2,1,3-1,take,0.549000477886811
post_war,3,1,2,2,3-1,take,0.549000477886811
post_war,3,1,2,3,3-1,take,0.549000477886811
post_war,3,1,3,0,3-1,take,0.4168659000806419
post_war,3,1,3,1,3-1,take,0.4168659000806419
post_war,3,1,3,2,3-1,take,0.4168659000806419
post_war,3,1,3,3,3-1,take,0.4168659000806419
post_war,3,2,0,0,3-2,take,0.7081845599195757
post_war,3,2,0,1,3-2,take,0.7081845599195757
post_war,3,2,0,2,3-2,take,0.7081845599195757
post_war,3,2,0,3,3-2,take,0.7081845599195757
post_war,3,2,1,0,3-2,take,0.5596913602204903
