era,deficit,param,direction,flip_state,base_action,perturbed_action
post_war,0,p_ball_on_take,-10%,1-0,take,swing
post_war,0,p_strike_on_take,+10%,1-0,take,swing
post_war,0,p_whiff_on_swing,-10%,1-0,take,swing
post_war,0,p_foul_on_swing,-10%,1-0,take,swing
post_war,0,p_contact_on_swing,+10%,1-0,take,swing
expansion,0,p_ball_on_take,-10%,1-0,take,swing
expansion,0,p_ball_on_take,-10%,3-2,take,swing
expansion,0,p_strike_on_take,+10%,1-0,take,swing
expansion,0,p_strike_on_take,+10%,3-2,take,swing
expansion,0,p_whiff_on_swing,-10%,1-0,take,swing
expansion,0,p_whiff_on_swing,-10%,3-2,take,swing
expansion,0,p_foul_on_swing,-10%,1-0,take,swing
expansion,0,p_contact_on_swing,+10%,1-0,take,swing
expansion,0,p_contact_on_swing,+10%,3-2,take,swing
offense_explosion,0,p_ball_on_take,-10%,1-0,take,swing
offense_explosion,0,p_ball_on_take,-10%,3-2,take,swing
offense_explosion,0,p_strike_on_take,+10%,1-0,take,swing
offense_explosion,0,p_strike_on_take,+10%,3-2,take,swing
offense_explosion,0,p_whiff_on_swing,-10%,3-2,take,swing
offense_explosion,0,p_foul_on_swing,-10%,1-0,take,swing
offense_explosion,0,p_contact_on_swing,+10%,1-0,take,swing
offense_explosion,0,p_contact_on_swing,+10%,3-2,take,swing
statcast,0,p_ball_on_take,+10%,1-1,swing,take
statcast,0,p_strike_on_take,-10%,1-1,swing,take
statcast,0,p_contact_on_swing,-10%,1-1,swing,take
