scenario,balls,strikes,deficit,count,optimal_action,value
baseline,0,0,0,0-0,take,0.7565843489739047
baseline,0,0,1,0-0,take,0.5476542471877128
baseline,0,0,2,0-0,take,0.39701263075324583
baseline,0,0,3,0-0,take,0.2897758844759929
baseline,0,1,0,0-1,take,0.5899144576226514
baseline,0,1,1,0-1,take,0.38286829742781003
baseline,0,1,2,0-1,take,0.27904541303463815
baseline,0,1,3,0-1,take,0.20861934535259904
baseline,0,2,0,0-2,swing,0.4270558470925526
baseline,0,2,1,0-2,swing,0.17112382086535527
baseline,0,2,2,0-2,swing,0.12999732957545326
baseline,0,2,3,0-2,swing,0.11459688617539854
baseline,1,0,0,1-0,take,0.8317971212022386
baseline,1,0,1,1-0,take,0.6220168570466327
baseline,1,0,2,1-0,take,0.45024744965291175
baseline,1,0,3,1-0,take,0.32639922849644487
baseline,1,1,0,1-1,take,0.6634073211501643
baseline,1,1,1,1-1,take,0.4784217831666148
baseline,1,1,2,1-1,take,0.3463060289951988
baseline,1,1,3,1-1,take,0.251048664349032
baseline,1,2,0,1-2,swing,0.4270558470925526
baseline,1,2,1,1-2,take,0.2475224430812834
baseline,1,2,2,1-2,take,0.1791693383692924
baseline,1,2,3,1-2,take,0.12988576395385087
baseline,2,0,0,2-0,take,0.9077860330219468
baseline,2,0,1,2-0,take,0.6868167048014534
baseline,2,0,2,2-0,take,0.49715287651702234
baseline,2,0,3,2-0,take,0.3604025206774831
baseline,2,1,0,2-1,take,0.770065155027678
baseline,2,1,1,2-1,take,0.5826192439840711
baseline,2,1,2,2-1,take,0.42172945275927654
baseline,2,1,3,2-1,take,0.30572559279288364
baseline,2,2,0,2-2,take,0.4747935602986719
baseline,2,2,1,2-2,take,0.35922137671556076
baseline,2,2,2,2-2,take,0.26002270983388476
baseline,2,2,3,2-2,take,0.18849904034526227
baseline,3,0,0,3-0,take,0.9699350447221969
baseline,3,0,1,3-0,take,0.7338376743581031
baseline,3,0,2,3-0,take,0.5311890467369851
baseline,3,0,3,3-0,take,0.3850764636472675
baseline,3,1,0,3-1,take,0.9033117481573574
baseline,3,1,1,3-1,take,0.6834315309001033
baseline,3,1,2,3-1,take,0.49470251541201876
baseline,3,1,3,3-1,take,0.35862617344526054
baseline,3,2,0,3-2,take,0.6890526542280146
baseline,3,2,1,3-2,take,0.5213264538078385
baseline,3,2,2,3-2,take,0.37736261262350074
baseline,3,2,3,3-2,take,0.27356260694381007
contact_pessimistic,0,0,0,0-0,take,0.7509783717734111
contact_pessimistic,0,0,1,0-0,take,0.5435418604995415
contact_pessimistic,0,0,2,0-0,take,0.3934038118691661
contact_pessimistic,0,0,3,0-0,take,0.28473714460255045
contact_pessimistic,0,1,0,0-1,take,0.5771095461840539
contact_pessimistic,0,1,1,0-1,take,0.37985614639661447
contact_pessimistic,0,1,2,0-1,take,0.2749316415540085
contact_pessimistic,0,1,3,0-1,take,0.19898955886018324
contact_pessimistic,0,2,0,0-2,swing,0.40267512654030746
contact_pessimistic,0,2,1,0-2,take,0.16929224697280973
contact_pessimistic,0,2,2,0-2,take,0.12253005724748274
contact_pessimistic,0,2,3,0-2,take,0.08868459802876782
contact_pessimistic,1,0,0,1-0,take,0.829439791953378
contact_pessimistic,1,0,1,1-0,take,0.6174079693216237
contact_pessimistic,1,0,2,1-0,take,0.44686649966865055
contact_pessimistic,1,0,3,1-0,take,0.3234322807760992
contact_pessimistic,1,1,0,1-1,take,0.6558262008064353
contact_pessimistic,1,1,1,1-1,take,0.47487687556670743
contact_pessimistic,1,1,2,1-1,take,0.343705584807974
contact_pessimistic,1,1,3,1-1,take,0.2487666483627709
contact_pessimistic,1,2,0,1-2,swing,0.40267512654030746
contact_pessimistic,1,2,1,1-2,take,0.2456884041213113
contact_pessimistic,1,2,2,1-2,take,0.17782393914006675
contact_pessimistic,1,2,3,1-2,take,0.12870511083573222
contact_pessimistic,2,0,0,2-0,take,0.9077860330219468
contact_pessimistic,2,0,1,2-0,take,0.681727676997409
contact_pessimistic,2,0,2,2-0,take,0.4934197093191068
contact_pessimistic,2,0,3,2-0,take,0.3571264852857011
contact_pessimistic,2,1,0,2-1,take,0.770065155027678
contact_pessimistic,2,1,1,2-1,take,0.5783022762820932
contact_pessimistic,2,1,2,2-1,take,0.4185626470667115
contact_pessimistic,2,1,3,2-1,take,0.30294656711215834
contact_pessimistic,2,2,0,2-2,take,0.4747935602986719
contact_pessimistic,2,2,1,2-2,take,0.35655969484158584
contact_pessimistic,2,2,2,2-2,take,0.2580701751168814
contact_pessimistic,2,2,3,2-2,take,0.18678559637619213
contact_pessimistic,3,0,0,3-0,take,0.9699350447221969
contact_pessimistic,3,0,1,3-0,take,0.7284002406114315
contact_pessimistic,3,0,2,3-0,take,0.5272002987706766
contact_pessimistic,3,0,3,3-0,take,0.3815761437382422
contact_pessimistic,3,1,0,3-1,take,0.9033117481573574
contact_pessimistic,3,1,1,3-1,take,0.6783675858349957
contact_pessimistic,3,1,2,3-1,take,0.49098774820362634
contact_pessimistic,3,1,3,3-1,take,0.35536628494805067
contact_pessimistic,3,2,0,3-2,take,0.6890526542280146
