GAME_ID,AWAY_TEAM_ID,INN_CT,BAT_HOME_ID,OUTS_CT,BALLS_CT,STRIKES_CT,PITCH_SEQ_TX,AWAY_SCORE_CT,HOME_SCORE_CT,BAT_ID,BAT_HAND_CD,RESP_BAT_ID,RESP_BAT_HAND_CD,PIT_ID,PIT_HAND_CD,RESP_PIT_ID,RESP_PIT_HAND_CD,POS2_FLD_ID,POS3_FLD_ID,POS4_FLD_ID,POS5_FLD_ID,POS6_FLD_ID,POS7_FLD_ID,POS8_FLD_ID,POS9_FLD_ID,BASE1_RUN_ID,BASE2_RUN_ID,BASE3_RUN_ID,EVENT_TX,LEADOFF_FL,PH_FL,BAT_FLD_CD,BAT_LINEUP_ID,EVENT_CD,BAT_EVENT_FL,AB_FL,H_CD,SH_FL,SF_FL,EVENT_OUTS_CT,DP_FL,TP_FL,RBI_CT,WP_FL,PB_FL,FLD_CD,BATTEDBALL_CD,BUNT_FL,FOUL_FL,BATTEDBALL_LOC_TX,ERR_CT,ERR1_FLD_CD,ERR1_CD,ERR2_FLD_CD,ERR2_CD,ERR3_FLD_CD,ERR3_CD,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,BAT_PLAY_TX,RUN1_PLAY_TX,RUN2_PLAY_TX,RUN3_PLAY_TX,RUN1_SB_FL,RUN2_SB_FL,RUN3_SB_FL,RUN1_CS_FL,RUN2_CS_FL,RUN3_CS_FL,RUN1_PK_FL,RUN2_PK_FL,RUN3_PK_FL,RUN1_RESP_PIT_ID,RUN2_RESP_PIT_ID,RUN3_RESP_PIT_ID,GAME_NEW_FL,GAME_END_FL,PR_RUN1_FL,PR_RUN2_FL,PR_RUN3_FL,REMOVED_FOR_PR_RUN1_ID,REMOVED_FOR_PR_RUN2_ID,REMOVED_FOR_PR_RUN3_ID,REMOVED_FOR_PH_BAT_ID,REMOVED_FOR_PH_BAT_FLD_CD,PO1_FLD_CD,PO2_FLD_CD,PO3_FLD_CD,ASS1_FLD_CD,ASS2_FLD_CD,ASS3_FLD_CD,ASS4_FLD_CD,ASS5_FLD_CD,EVENT_ID,runs_scored_this_inning,deficit
ATL199007142,MON,9,1,2,0,0,X,6,2,gantr001,R,gantr001,R,mohod001,R,mohod001,R,fitzm001,galaa001,noboj001,wallt001,owens001,raint001,nixoo001,grism001,treaj001,blauj001,kremj001,6/L6,F,F,8,3,2,T,T,0,F,F,1,F,F,0,F,F,6,L,F,F,6,0,0,N,0,N,0,N,0,1,2,3,6.0,,,,F,F,F,F,F,F,F,F,F,mohod001,mohod001,mohod001,F,T,F,F,F,,,,,0,6,0,0,0,0,0,0,0,88,1,4
ATL199008071,SDN,9,1,2,2,2,BBFSFX,7,2,justd001,L,justd001,L,harrg002,R,harrg002,R,parem001,clarj001,alomr001,paglm001,tempg001,robeb002,cartj001,gwynt001,treaj001,mcdoo001,smitl002,9/F89,F,F,9,5,2,T,T,0,F,F,1,F,F,0,F,F,9,F,F,F,89,0,0,N,0,N,0,N,0,1,2,3,9.0,,,,F,F,F,F,F,F,F,F,F,rodrr004,rodrr004,rodrr004,F,T,F,F,F,,,,,0,9,0,0,0,0,0,0,0,89,1,5
BAL199006080,NYA,9,1,2,1,2,CSBX,4,4,orsuj001,L,orsuj001,L,milla001,R,milla001,R,nokem001,mattd001,sax-s001,leyrj001,velar001,sandd001,kellb002,barfj001,tettm001,finls001,bradp001,9/F9,F,F,9,5,2,T,T,0,F,F,1,F,F,0,F,F,9,F,F,F,9,0,0,N,0,N,0,N,0,1,2,3,9.0,,,,F,F,F,F,F,F,F,F,F,milla001,milla001,milla001,F,F,F,F,F,,,,,0,9,0,0,0,0,0,0,0,82,0,0
BAL199007140,MIN,9,1,2,2,1,BBCX,2,2,bradp001,R,bradp001,R,drumt001,R,drumt001,R,harpb001,hrbek001,newma001,gaetg001,gagng001,gladd001,puckk001,mosej001,orsuj001,wortc001,horns001,64(1)/FO/G6,F,F,7,2,2,T,T,0,F,F,1,F,F,0,F,F,6,G,F,F,6,0,0,N,0,N,0,N,1,0,2,3,,64,,,F,F,F,F,F,F,F,F,F,drumt001,drumt001,drumt001,F,F,F,F,F,,,,,0,4,0,0,6,0,0,0,0,77,0,0
BAL199008270,NYA,9,1,2,1,2,..CSBX,4,0,kittr001,R,kittr001,R,righd001,L,righd001,L,ceror001,maask001,sax-s001,velar001,espia001,azoco001,kellb002,barfj001,hulet001,tettm001,horns001,8/F89,F,T,11,7,2,T,T,0,F,F,1,F,F,0,F,F,8,F,F,F,89,0,0,N,0,N,0,N,0,1,2,3,8.0,,,,F,F,F,F,F,F,F,F,F,hawka001,hawka001,hawka001,F,T,F,F,F,,,,segud001,3,8,0,0,0,0,0,0,0,73,0,4
BOS199005220,TEX,9,1,2,1,2,FBFFC,5,4,penat001,R,penat001,R,russj001,R,russj001,R,petrg001,palmr001,franj002,cools001,husoj001,espyc001,pettg001,sierr001,evand002,kutcr001,reedj003,K,F,F,2,6,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,1,2,3,2.0,,,,F,F,F,F,F,F,F,F,F,russj001,russj001,russj001,F,T,F,F,F,,,,,0,2,0,0,0,0,0,0,0,82,1,1
BOS199006110,CLE,9,1,2,1,2,CBFS,3,3,quinc001,R,quinc001,R,orosj001,L,orosj001,L,aloms001,jamed001,browj001,jacob001,baerc001,maldc001,websm001,snydc001,penat001,evand002,brunt001,K,F,F,3,7,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,1,2,3,2.0,,,,F,F,F,F,F,F,F,F,F,orosj001,orosj001,orosj001,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,81,0,0
CAL199009160,SEA,9,1,2,0,0,X,5,3,ray-j001,L,ray-j001,L,jackm001,R,jackm001,R,brads001,obrip001,reynh001,marte001,vizqo001,leonj001,cotth001,buhnj001,howej002,whitd001,polol001,8/F78,F,F,4,2,2,T,T,0,F,F,1,F,F,0,F,F,8,F,F,F,78,0,0,N,0,N,0,N,0,1,2,3,8.0,,,,F,F,F,F,F,F,F,F,F,jackm001,jackm001,jackm001,F,T,F,F,F,,,,,0,8,0,0,0,0,0,0,0,76,0,2
CIN199004270,MON,9,1,2,0,1,.CX,2,2,saboc001,R,saboc001,R,burkt001,R,burkt001,R,santn001,galaa001,deshd001,wallt001,owens001,raint001,grism001,walkl001,quinl001,olivj001,duncm001,S7/G56.3-H;2-3;1-2,F,F,5,1,20,T,T,1,F,F,0,F,F,1,F,F,7,G,F,F,56,0,0,N,0,N,0,N,1,2,3,4,,,,,F,F,F,F,F,F,F,F,F,halld001,halld001,halld001,F,T,F,F,F,,,,,0,0,0,0,0,0,0,0,0,78,0,0
CIN199005170,SLN,9,1,2,2,2,CBBSFFFC,3,0,winnh001,L,winnh001,L,smitl001,R,smitl001,R,zeilt001,walld001,oquej001,pendt001,smito001,colev001,mcgew001,hudlr001,saboc001,nocep001,hatcb001,K,F,F,8,2,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,1,2,3,2.0,,,,F,F,F,F,F,F,F,F,F,smitl001,daylk001,daylk001,F,T,F,F,F,,,,,0,2,0,0,0,0,0,0,0,78,0,3
