pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2021-04-30,94.3,-0.18,6.44,"Scrubb, Andre",642715,668687,single,hit_into_play,,,,,12,Willy Adames singles on a soft fly ball to center fielder Myles Straw. Joey Wendle scores. Mike Zunino scores. Kevin Kiermaier to 2nd.,R,R,R,TB,HOU,X,8,fly_ball,0,1,2021,0.48,1.1,1.1467438025578744,2.9673064075576856,621563,572287,595281,2,9,Bot,146.42,87.67,,,,,2.3857649368330556,-137.33798597392598,-5.813532371624635,5.566299034907174,29.060325945274556,-17.202814383993683,3.371,1.535,239,73.3,28,94.9,2273,6.5,634275,455117,649557,514888,608324,621043,676801,664702,663656,54.03,0.723,0.687,0.9,1,1,0,4,81,2,Cutter,0,9,0,9,9,2,2,9,Standard,Standard,173,0.0,0.556,,,0.813,-0.556,88.0,-9,-9,0.001,0.001,26,25,26,26,1,3,,1,4,1,1.45,-0.48,-0.48,65.9,,,,,
KC,2021-04-30,80.4,-0.59,6.44,"Scrubb, Andre",642715,668687,,called_strike,,,,,4,Called Strike,R,R,R,TB,HOU,S,,,0,0,2021,0.42,-1.53,-0.6069094827898392,2.9902498818319687,621563,572287,595281,2,9,Bot,,,,,,,-0.829912991603193,-116.93380363178092,2.013700756719511,3.965817826748235,25.460287814891593,-46.712792488893,3.58414293634871,1.75606416316885,,,,79.4,2695,6.0,634275,455117,649557,514888,608324,621043,676801,664702,663656,54.49,,,,,,,,81,1,Knuckle Curve,0,9,0,9,9,0,0,9,Standard,Standard,14,0.0,-0.046,,,,0.046,,-9,-9,0.001,0.001,26,25,26,26,1,3,,1,4,1,5.1,-0.42,-0.42,60.7,,,,,
FF,2021-04-17,97.9,-1.3,6.3,"Reyes, Alex",544369,621052,field_out,hit_into_play,,,,,5,Didi Gregorius lines out to right fielder Dylan Carlson.,R,L,R,PHI,STL,X,9,line_drive,3,2,2021,-0.39,1.46,0.2739310775675678,2.6155634349867127,457705,591720,592663,2,9,Bot,189.99,80.27,,,,,5.112384675067722,-142.3697257774344,-7.765072035846233,-6.4655912735759715,33.692260465671936,-10.71530758702429,3.49,1.601,333,98.1,21,97.3,2432,6.0,634470,425877,502671,669242,571448,657557,642211,656568,666185,54.47,0.321,0.392,0.0,1,0,0,5,88,6,4-Seam Fastball,4,9,4,9,9,4,4,9,Strategic,Standard,193,-0.02,-0.327,,,0.648,0.327,98.1,-5,-5,0.02,0.02,26,31,27,31,1,4,3,1,3,1,0.93,0.39,-0.39,42.6,,,,,
FF,2021-04-17,96.8,-1.25,6.32,"Reyes, Alex",544369,621052,,foul,,,,,2,Foul,R,L,R,PHI,STL,S,,,3,1,2021,-0.36,1.74,0.0708963092757744,3.06928198913284,457705,591720,592663,2,9,Bot,,,,,,,4.351860424881973,-140.71836548773652,-7.057823860176,-5.822609894791963,33.418776774484535,-7.675139994251002,3.49,1.601,194,73.5,60,96.5,2455,6.3,634470,425877,502671,669242,571448,657557,642211,656568,666185,54.2,,,,,,,,88,5,4-Seam Fastball,4,9,4,9,9,4,4,9,Strategic,Standard,196,-0.008,-0.083,,,,0.083,88.0,-5,-5,0.028,0.028,26,31,27,31,1,4,3,1,3,1,0.71,0.36,-0.36,42.6,,,,,
FF,2021-04-17,96.8,-1.39,6.28,"Reyes, Alex",544369,621052,,ball,,,,,11,Ball,R,L,R,PHI,STL,B,,,2,1,2021,-0.5,1.59,-0.3429094081449154,4.074751566279807,457705,591720,592663,2,9,Bot,,,,,,,3.9406454363606103,-140.9012652095624,-3.911351886066923,-7.598822406632689,34.8698126805667,-10.44783171287224,3.44700069927069,1.73648872138002,,,,96.5,2402,6.3,634470,425877,502671,669242,571448,657557,642211,656568,666185,54.21,,,,,,,,88,4,4-Seam Fastball,4,9,4,9,9,4,4,9,Strategic,Standard,205,0.01,0.123,,,,-0.123,,-5,-5,0.018,0.018,26,31,27,31,1,4,3,1,3,1,0.86,0.5,-0.5,39.7,,,,,
CH,2021-04-17,88.4,-1.15,6.27,"Reyes, Alex",544369,621052,,blocked_ball,,,,,13,Ball In Dirt,R,L,R,PHI,STL,B,,,1,1,2021,-0.89,1.04,-0.1258529304565622,0.2642086395001108,457705,591720,592663,2,9,Bot,,,,,,,4.336943982507057,-128.2171159721475,-10.652028720339468,-10.700115016985192,27.677537104700047,-18.64635752406478,3.40699270758894,1.76685890407143,,,,88.2,1415,6.4,634470,425877,502671,669242,571448,657557,642211,656568,666185,54.07,,,,,,,,88,3,Changeup,4,9,4,9,9,4,4,9,Strategic,Standard,224,0.003,0.035,,,,-0.035,,-5,-5,0.015,0.015,26,31,27,31,1,4,3,1,3,1,1.91,0.89,-0.89,43.5,,,,,
FF,2021-04-17,96.2,-1.33,6.26,"Reyes, Alex",544369,621052,,called_strike,,,,,4,Called Strike,R,L,R,PHI,STL,S,,,1,0,2021,-0.59,1.48,-0.5332928085399776,2.3055488829641084,457705,591720,592663,2,9,Bot,,,,,,,3.462818279354529,-139.8681147517667,-8.235174419459025,-8.57832599119755,31.654404004292417,-11.068178103542332,3.34611455802211,1.65360291779566,,,,96.0,2490,6.2,634470,425877,502671,669242,571448,657557,642211,656568,666185,54.29,,,,,,,,88,2,4-Seam Fastball,4,9,4,9,9,4,4,9,Strategic,Standard,204,-0.003,-0.052,,,,0.052,,-5,-5,0.018,0.018,26,31,27,31,1,4,3,1,3,1,0.99,0.59,-0.59,39.3,,,,,
FF,2021-04-17,97.2,-1.39,6.31,"Reyes, Alex",544369,621052,,ball,,,,,11,Ball,R,L,R,PHI,STL,B,,,0,0,2021,-0.52,1.59,-0.7123679349759804,3.686735246026651,457705,591720,592663,2,9,Bot,,,,,,,2.997203000782685,-141.40126223430826,-5.102484224517356,-7.663156491919633,34.25025731812726,-9.897677669980265,3.37810575555739,1.69648509351866,,,,96.5,2463,6.0,634470,425877,502671,669242,571448,657557,642211,656568,666185,54.45,,,,,,,,88,1,4-Seam Fastball,4,9,4,9,9,4,4,9,Strategic,Standard,194,0.003,0.028,,,,-0.028,,-5,-5,0.015,0.015,26,31,27,31,1,4,3,1,3,1,0.83,0.52,-0.52,39.5,,,,,
FC,2021-04-17,100.7,-0.58,6.2,"Clase, Emmanuel",553993,661403,field_out,hit_into_play,,,,,6,Eugenio Suarez lines out to right fielder Jordan Luplow.,R,R,R,CIN,CLE,X,9,line_drive,0,0,2021,0.43,0.96,0.7811103013698153,2.3357761733402005,608385,592206,458015,2,9,Bot,175.14,90.4,,,,,2.780140066037686,-146.57977743793123,-7.7703027899514465,5.676545490235515,30.76298907174423,-16.76059334859501,3.319,1.513,295,88.0,23,101.9,2452,6.7,634460,595978,647304,514917,608070,665926,592696,642708,656669,53.83,0.208,0.231,0.0,1,0,0,3,77,1,Cutter,2,2,2,2,2,2,2,2,Standard,Standard,181,-0.165,-0.277,,,0.342,0.277,88.0,0,0,0.665,0.665,23,29,23,30,1,4,2,1,1,1,1.27,-0.43,-0.43,55.3,,,,,
FF,2021-04-17,95.2,2.15,5.58,"McGee, Jake",594807,459429,field_out,hit_into_play,,,,,12,Adam Duvall flies out to right fielder Mike Yastrzemski.,R,R,L,MIA,SF,X,9,fly_ball,1,2,2021,1.02,1.34,0.5448541151279236,3.5816824196789137,595751,516782,542583,2,9,Bot,164.76,111.62,,,,,-6.501658951756414,-138.41093572029123,-2.5640721112099887,14.61946860329068,34.06642104262955,-14.629563765707962,3.411,1.565,240,91.8,54,94.7,2255,6.3,634450,592200,474832,456781,446334,543063,596103,643289,573262,54.21,0.005,0.005,0.0,1,0,0,3,84,7,4-Seam Fastball,5,5,5,5,5,5,5,5,Infield shade,Standard,133,-0.124,-0.182,,,0.006,0.182,91.8,0,0,0.624,0.624,34,32,35,33,1,5,3,1,3,1,1.2,1.02,-1.02,32.3,,,,,
